School_Name,Location_Code,District,Latitude,Longitude,City,Zip,Grade_Low,Grade_High,Economic_Need_Index,School_Income_Estimate,Percent_ELL,Percent_Asian,Percent_Black,Percent_Hispanic,Percent Black / Hispanic,Percent_White,Student_Attendance_Rate,Percent_of_Students_Chronically_Absent,Rigorous_Instruction_%,Rigorous_Instruction_Rating,Collaborative Teachers %,Collaborative_Teachers_Rating,Supportive Environment %,Supportive_Environment_Rating,Effective School Leadership %,Effective_School_Leadership_Rating,Strong Family-Community Ties %,Strong_Family-Community_Ties_Rating,Trust %,Trust_Rating,Student_Achievement_Rating,Average_ELA_Proficiency,Average_Math_Proficiency,Grade 3 ELA - All Students Tested,Grade 3 ELA 4s - All Students,Grade 3 ELA 4s - American Indian or Alaska Native,Grade 3 ELA 4s - Black or African American,Grade 3 ELA 4s - Hispanic or Latino,Grade 3 ELA 4s - Asian or Pacific Islander,Grade 3 ELA 4s - White,Grade 3 ELA 4s - Multiracial,Grade 3 ELA 4s - Limited English Proficient,Grade 3 ELA 4s - Economically Disadvantaged,Grade 3 Math - All Students tested,Grade 3 Math 4s - All Students,Grade 3 Math 4s - American Indian or Alaska Native,Grade 3 Math 4s - Black or African American,Grade 3 Math 4s - Hispanic or Latino,Grade 3 Math 4s - Asian or Pacific Islander,Grade 3 Math 4s - White,Grade 3 Math 4s - Multiracial,Grade 3 Math 4s - Limited English Proficient,Grade 3 Math 4s - Economically Disadvantaged,Grade 4 ELA - All Students Tested,Grade 4 ELA 4s - All Students,Grade 4 ELA 4s - American Indian or Alaska Native,Grade 4 ELA 4s - Black or African American,Grade 4 ELA 4s - Hispanic or Latino,Grade 4 ELA 4s - Asian or Pacific Islander,Grade 4 ELA 4s - White,Grade 4 ELA 4s - Multiracial,Grade 4 ELA 4s - Limited English Proficient,Grade 4 ELA 4s - Economically Disadvantaged,Grade 4 Math - All Students Tested,Grade 4 Math 4s - All Students,Grade 4 Math 4s - American Indian or Alaska Native,Grade 4 Math 4s - Black or African American,Grade 4 Math 4s - Hispanic or Latino,Grade 4 Math 4s - Asian or Pacific Islander,Grade 4 Math 4s - White,Grade 4 Math 4s - Multiracial,Grade 4 Math 4s - Limited English Proficient,Grade 4 Math 4s - Economically Disadvantaged,Grade 5 ELA - All Students Tested,Grade 5 ELA 4s - All Students,Grade 5 ELA 4s - American Indian or Alaska Native,Grade 5 ELA 4s - Black or African American,Grade 5 ELA 4s - Hispanic or Latino,Grade 5 ELA 4s - Asian or Pacific Islander,Grade 5 ELA 4s - White,Grade 5 ELA 4s - Multiracial,Grade 5 ELA 4s - Limited English Proficient,Grade 5 ELA 4s - Economically Disadvantaged,Grade 5 Math - All Students Tested,Grade 5 Math 4s - All Students,Grade 5 Math 4s - American Indian or Alaska Native,Grade 5 Math 4s - Black or African American,Grade 5 Math 4s - Hispanic or Latino,Grade 5 Math 4s - Asian or Pacific Islander,Grade 5 Math 4s - White,Grade 5 Math 4s - Multiracial,Grade 5 Math 4s - Limited English Proficient,Grade 5 Math 4s - Economically Disadvantaged,Grade 6 ELA - All Students Tested,Grade 6 ELA 4s - All Students,Grade 6 ELA 4s - American Indian or Alaska Native,Grade 6 ELA 4s - Black or African American,Grade 6 ELA 4s - Hispanic or Latino,Grade 6 ELA 4s - Asian or Pacific Islander,Grade 6 ELA 4s - White,Grade 6 ELA 4s - Multiracial,Grade 6 ELA 4s - Limited English Proficient,Grade 6 ELA 4s - Economically Disadvantaged,Grade 6 Math - All Students Tested,Grade 6 Math 4s - All Students,Grade 6 Math 4s - American Indian or Alaska Native,Grade 6 Math 4s - Black or African American,Grade 6 Math 4s - Hispanic or Latino,Grade 6 Math 4s - Asian or Pacific Islander,Grade 6 Math 4s - White,Grade 6 Math 4s - Multiracial,Grade 6 Math 4s - Limited English Proficient,Grade 6 Math 4s - Economically Disadvantaged,Grade 7 ELA - All Students Tested,Grade 7 ELA 4s - All Students,Grade 7 ELA 4s - American Indian or Alaska Native,Grade 7 ELA 4s - Black or African American,Grade 7 ELA 4s - Hispanic or Latino,Grade 7 ELA 4s - Asian or Pacific Islander,Grade 7 ELA 4s - White,Grade 7 ELA 4s - Multiracial,Grade 7 ELA 4s - Limited English Proficient,Grade 7 ELA 4s - Economically Disadvantaged,Grade 7 Math - All Students Tested,Grade 7 Math 4s - All Students,Grade 7 Math 4s - American Indian or Alaska Native,Grade 7 Math 4s - Black or African American,Grade 7 Math 4s - Hispanic or Latino,Grade 7 Math 4s - Asian or Pacific Islander,Grade 7 Math 4s - White,Grade 7 Math 4s - Multiracial,Grade 7 Math 4s - Limited English Proficient,Grade 7 Math 4s - Economically Disadvantaged,Grade 8 ELA - All Students Tested,Grade 8 ELA 4s - All Students,Grade 8 ELA 4s - American Indian or Alaska Native,Grade 8 ELA 4s - Black or African American,Grade 8 ELA 4s - Hispanic or Latino,Grade 8 ELA 4s - Asian or Pacific Islander,Grade 8 ELA 4s - White,Grade 8 ELA 4s - Multiracial,Grade 8 ELA 4s - Limited English Proficient,Grade 8 ELA 4s - Economically Disadvantaged,Grade 8 Math - All Students Tested,Grade 8 Math 4s - All Students,Grade 8 Math 4s - American Indian or Alaska Native,Grade 8 Math 4s - Black or African American,Grade 8 Math 4s - Hispanic or Latino,Grade 8 Math 4s - Asian or Pacific Islander,Grade 8 Math 4s - White,Grade 8 Math 4s - Multiracial,Grade 8 Math 4s - Limited English Proficient,Grade 8 Math 4s - Economically Disadvantaged
P.S. 184M SHUANG WEN,01M184,1,40.71144,-73.98549,NEW YORK,10002,PK,8,0.559,40809.9,0.17,0.71,0.04,0.12,0.15,0.09,0.98,0.02,0.9,NA,0.81,NA,0.91,NA,0.67,Not Meeting Target,0.83,Approaching Target,0.85,Approaching Target,Exceeding Target,3.24,3.63,59,8,0,0,2,6,0,0,0,4,59,40,0,0,3,34,0,0,5,27,60,7,0,0,0,7,0,0,0,6,61,32,0,0,0,30,0,0,6,24,63,20,0,0,0,13,0,0,0,11,65,42,0,0,0,32,0,0,1,26,76,29,0,0,0,26,2,0,0,20,82,43,0,0,0,39,3,0,3,32,72,22,0,0,2,14,3,0,0,15,72,36,0,0,2,29,4,0,0,29,46,23,0,0,0,19,0,0,0,16,48,28,0,0,0,25,0,0,2,21
P.S. 188 THE ISLAND SCHOOL,01M188,1,40.71987,-73.97738,NEW YORK,10002,PK,8,0.917,27881.59,0.16,0.02,0.3,0.64,0.93,0.04,0.91,0.37,1,Meeting Target,1,Exceeding Target,0.99,Meeting Target,0.99,Exceeding Target,0.92,Exceeding Target,0.99,Exceeding Target,Meeting Target,2.17,2.32,40,0,0,0,0,0,0,0,0,0,40,1,0,0,1,0,0,0,0,0,37,1,0,0,0,0,0,0,0,1,38,3,0,0,1,0,0,0,0,3,48,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,48,2,0,0,2,0,0,0,0,2,51,14,0,0,13,0,0,0,0,13,54,0,0,0,0,0,0,0,0,0,54,1,0,0,1,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,50,3,0,0,3,0,0,0,0,3
ORCHARD COLLEGIATE ACADEMY,01M292,1,40.71334,-73.98607,NEW YORK,10002,6,12,0.832,NA,0.14,0.12,0.26,0.57,0.84,0.03,0.84,0.58,0.72,Not Meeting Target,0.77,Approaching Target,0.77,Approaching Target,0.72,Approaching Target,0.76,Approaching Target,0.87,Meeting Target,Approaching Target,1.96,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"TECHNOLOGY ARTS, AND SCIENCES STUDIO",01M301,1,40.72989,-73.98423,NEW YORK,10003,6,8,0.791,NA,0.06,0.08,0.29,0.55,0.84,0.04,0.9,0.35,0.84,Approaching Target,0.78,Approaching Target,0.81,Approaching Target,0.8,Approaching Target,0.74,Approaching Target,0.87,Approaching Target,Meeting Target,2.29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,0,0,0,0,0,0,0,0,45,3,0,0,0,0,0,0,0,0,48,1,0,0,0,0,0,0,0,1,46,0,0,0,0,0,0,0,0,0,48,3,0,0,1,0,0,0,0,3,47,1,0,0,0,0,0,0,0,1
THE EAST VILLAGE COMMUNITY SCHOOL,01M315,1,40.72773,-73.97838,NEW YORK,10009,PK,5,0.362,63760,0.01,0.09,0.09,0.21,0.29,0.55,0.95,0.11,0.9,Meeting Target,0.93,Exceeding Target,0.94,Meeting Target,0.93,Exceeding Target,0.97,Exceeding Target,0.96,Exceeding Target,Meeting Target,2.86,3.2,35,2,0,0,0,0,1,0,0,0,35,23,0,0,0,0,16,0,0,3,32,6,0,0,1,0,5,0,0,2,31,7,0,0,1,0,5,0,0,1,18,4,0,0,1,0,0,0,0,0,18,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,01M332,1,40.71334,-73.98607,NEW YORK,10002,6,8,0.771,NA,0.15,0.05,0.27,0.63,0.9,0.04,0.92,0.26,0.92,Exceeding Target,0.96,Meeting Target,0.92,Exceeding Target,0.96,Exceeding Target,0.86,Exceeding Target,0.96,Exceeding Target,Meeting Target,2.26,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,0,3,1,0,0,0,0,0,37,4,0,0,0,0,0,0,1,0,27,2,0,0,1,0,0,0,0,2,28,0,0,0,0,0,0,0,0,0,28,3,0,0,2,0,0,0,0,0,30,1,0,0,0,0,0,0,1,0
THE CHILDREN'S WORKSHOP SCHOOL,01M361,1,40.72773,-73.97838,NEW YORK,10009,PK,5,0.451,62519.57,0.07,0.1,0.1,0.39,0.49,0.38,0.93,0.23,0.97,Meeting Target,0.97,Meeting Target,0.97,Meeting Target,0.96,Exceeding Target,0.93,Exceeding Target,0.94,Meeting Target,Meeting Target,2.89,2.99,22,3,0,0,1,0,1,0,0,2,22,7,0,0,2,0,2,0,0,3,23,3,0,0,0,0,0,0,0,2,23,5,0,0,0,0,3,0,0,2,31,11,0,0,1,0,8,0,0,3,31,9,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEIGHBORHOOD SCHOOL,01M363,1,40.7244,-73.98636,NEW YORK,10009,PK,5,0.43,57504.48,0.04,0.05,0.13,0.34,0.47,0.45,0.93,0.23,0.99,Exceeding Target,0.97,Exceeding Target,0.95,Meeting Target,0.96,Exceeding Target,0.95,Exceeding Target,0.99,Exceeding Target,Approaching Target,2.55,2.68,10,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,17,1,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EARTH SCHOOL,01M364,1,40.72375,-73.9816,NEW YORK,10009,PK,5,0.448,56787.2,0.06,0.07,0.13,0.35,0.48,0.37,0.94,0.15,0.96,Exceeding Target,0.99,Exceeding Target,0.96,Exceeding Target,0.98,Exceeding Target,0.96,Exceeding Target,0.98,Exceeding Target,Meeting Target,3.1,3.08,11,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,0,0,0,12,2,0,0,0,0,0,0,0,0,13,3,0,0,0,0,3,0,0,0,20,7,0,0,0,0,4,0,0,1,19,8,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCHOOL FOR GLOBAL LEADERS,01M378,1,40.72019,-73.98596,NEW YORK,10002,6,8,0.764,NA,0.08,0.15,0.22,0.58,0.81,0.02,0.92,0.27,0.79,Meeting Target,0.87,Meeting Target,0.82,Meeting Target,0.77,Approaching Target,0.76,Approaching Target,0.88,Meeting Target,Exceeding Target,2.34,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,4,0,1,2,0,0,0,0,2,84,16,0,1,4,0,0,0,0,10,69,2,0,1,0,0,0,0,0,1,69,8,0,0,4,3,0,0,0,5,73,7,0,0,3,0,0,0,0,5,74,5,0,0,2,3,0,0,0,4
